Hybrid Ocean Spectrum Export
WindSpeed,10.000
RegionSize,100
N_omega,8
N_theta,8
Date,20251205_130037

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.001009,0.000887,0.000091,0.000087,0.000076,0.000067,0.000089,0.000061,0.000083,0.000061,0.000089,0.000067,0.000111,0.000087,0.001130,0.000887
omega1,0.138303,0.135765,0.021011,0.019493,0.020024,0.016905,0.018987,0.016029,0.019936,0.016029,0.019423,0.016905,0.020781,0.019493,0.127046,0.135765
omega2,0.143324,0.148936,0.027525,0.026458,0.027753,0.024437,0.028508,0.023742,0.028508,0.023742,0.026270,0.024437,0.025690,0.026458,0.138160,0.148936
omega3,0.038360,0.040716,0.005601,0.005523,0.004758,0.004710,0.005077,0.004437,0.004965,0.004437,0.004767,0.004710,0.004925,0.005523,0.037253,0.040716
omega4,0.013987,0.015169,0.001690,0.001787,0.001542,0.001461,0.001552,0.001354,0.001496,0.001354,0.001499,0.001461,0.001804,0.001787,0.014093,0.015169
omega5,0.005385,0.005870,0.000613,0.000637,0.000501,0.000508,0.000533,0.000467,0.000522,0.000467,0.000517,0.000508,0.000606,0.000637,0.005451,0.005870
omega6,0.002237,0.002460,0.000252,0.000254,0.000206,0.000199,0.000201,0.000182,0.000210,0.000182,0.000204,0.000199,0.000245,0.000254,0.002334,0.002460
omega7,0.001055,0.001121,0.000109,0.000112,0.000090,0.000087,0.000089,0.000079,0.000089,0.000079,0.000091,0.000087,0.000111,0.000112,0.001053,0.001121

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.343660,0.350924
1,0.056893,0.054349
2,0.054951,0.048375
3,0.055036,0.046351
4,0.055808,0.046351
5,0.052860,0.048375
6,0.054272,0.054349
7,0.326519,0.350924

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.002677,0.002204
1,0.385511,0.376383
2,0.445739,0.447146
3,0.105705,0.110775
4,0.037662,0.039541
5,0.014128,0.014964
6,0.005889,0.006190
7,0.002688,0.002798

End
