Hybrid Ocean Spectrum Export
WindSpeed,5.000
RegionSize,100
N_omega,16
N_theta,8
Date,20251212_123327

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000008,0.000007,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000008,0.000007
omega1,0.003940,0.003395,0.000430,0.000350,0.000335,0.000276,0.000353,0.000252,0.000350,0.000252,0.000327,0.000276,0.000435,0.000350,0.003665,0.003395
omega2,0.030311,0.029207,0.003661,0.003625,0.003687,0.003011,0.003710,0.002808,0.003652,0.002808,0.003500,0.003011,0.003686,0.003625,0.032130,0.029207
omega3,0.098659,0.108482,0.019188,0.018908,0.020063,0.017366,0.021684,0.016835,0.021356,0.016835,0.020131,0.017366,0.020148,0.018908,0.098659,0.108482
omega4,0.106284,0.109038,0.021939,0.021515,0.021921,0.020499,0.024463,0.020156,0.024797,0.020156,0.023279,0.020499,0.022499,0.021515,0.101125,0.109038
omega5,0.034526,0.036258,0.005679,0.005908,0.005831,0.005319,0.006253,0.005117,0.006277,0.005117,0.005920,0.005319,0.005823,0.005908,0.032877,0.036259
omega6,0.018486,0.020628,0.002849,0.002945,0.002759,0.002550,0.002933,0.002416,0.002924,0.002416,0.002666,0.002550,0.002825,0.002945,0.018927,0.020629
omega7,0.012014,0.012696,0.001637,0.001649,0.001466,0.001388,0.001558,0.001301,0.001547,0.001301,0.001471,0.001388,0.001587,0.001649,0.011628,0.012696
omega8,0.007025,0.007732,0.000907,0.000937,0.000817,0.000772,0.000855,0.000718,0.000848,0.000718,0.000821,0.000772,0.000923,0.000937,0.007205,0.007732
omega9,0.004325,0.004736,0.000536,0.000544,0.000470,0.000442,0.000485,0.000408,0.000485,0.000408,0.000458,0.000442,0.000527,0.000544,0.004325,0.004736
omega10,0.002655,0.002944,0.000306,0.000325,0.000271,0.000261,0.000283,0.000240,0.000284,0.000240,0.000276,0.000261,0.000319,0.000325,0.002599,0.002944
omega11,0.001693,0.001867,0.000192,0.000200,0.000165,0.000159,0.000171,0.000145,0.000171,0.000145,0.000165,0.000159,0.000189,0.000200,0.001685,0.001867
omega12,0.001062,0.001208,0.000121,0.000126,0.000104,0.000099,0.000107,0.000091,0.000106,0.000091,0.000104,0.000099,0.000119,0.000126,0.001061,0.001208
omega13,0.000698,0.000799,0.000077,0.000082,0.000066,0.000064,0.000068,0.000058,0.000068,0.000058,0.000067,0.000064,0.000077,0.000082,0.000710,0.000799
omega14,0.000482,0.000539,0.000051,0.000054,0.000043,0.000042,0.000045,0.000038,0.000045,0.000038,0.000044,0.000042,0.000051,0.000054,0.000479,0.000539
omega15,0.000330,0.000371,0.000034,0.000037,0.000030,0.000029,0.000030,0.000026,0.000030,0.000026,0.000030,0.000029,0.000034,0.000037,0.000334,0.000371

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.322498,0.339909
1,0.057609,0.057204
2,0.058031,0.052276
3,0.063002,0.050610
4,0.062941,0.050610
5,0.059259,0.052276
6,0.059243,0.057204
7,0.317417,0.339910

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000021,0.000018
1,0.009837,0.008546
2,0.084337,0.077301
3,0.319889,0.323180
4,0.346308,0.342415
5,0.103185,0.105204
6,0.054368,0.057078
7,0.032909,0.034070
8,0.019403,0.020319
9,0.011611,0.012261
10,0.006994,0.007540
11,0.004433,0.004740
12,0.002784,0.003049
13,0.001831,0.002006
14,0.001240,0.001349
15,0.000852,0.000926

End
