Hybrid Ocean Spectrum Export
WindSpeed,7.071
RegionSize,100
N_omega,32
N_theta,8
Date,20251211_184512

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000041,0.000032,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000004,0.000003,0.000040,0.000032
omega2,0.000752,0.000622,0.000059,0.000062,0.000047,0.000049,0.000044,0.000044,0.000044,0.000044,0.000048,0.000049,0.000057,0.000062,0.000714,0.000622
omega3,0.003940,0.003550,0.000416,0.000380,0.000296,0.000302,0.000236,0.000277,0.000264,0.000277,0.000275,0.000302,0.000389,0.000380,0.004192,0.003550
omega4,0.011121,0.010010,0.001064,0.001172,0.000937,0.000957,0.000804,0.000887,0.000705,0.000887,0.000966,0.000957,0.001064,0.001172,0.011835,0.010010
omega5,0.022174,0.019472,0.002712,0.002585,0.002002,0.002191,0.001866,0.002059,0.001789,0.002059,0.002002,0.002191,0.002479,0.002585,0.022757,0.019472
omega6,0.038457,0.037331,0.005515,0.005866,0.004353,0.005225,0.004903,0.005006,0.004340,0.005006,0.004324,0.005225,0.005515,0.005866,0.038667,0.037331
omega7,0.072278,0.069277,0.013302,0.013593,0.011705,0.012929,0.010462,0.012704,0.010790,0.012704,0.011148,0.012929,0.012365,0.013593,0.074966,0.069277
omega8,0.067513,0.066808,0.012843,0.014013,0.013145,0.013594,0.012563,0.013461,0.012383,0.013461,0.012779,0.013594,0.013926,0.014013,0.066167,0.066808
omega9,0.040870,0.039598,0.006867,0.007394,0.006105,0.006931,0.005966,0.006772,0.005660,0.006772,0.006179,0.006931,0.006808,0.007394,0.043601,0.039598
omega10,0.023326,0.022136,0.003441,0.003758,0.002845,0.003425,0.002968,0.003311,0.002926,0.003311,0.002962,0.003425,0.003617,0.003758,0.022667,0.022136
omega11,0.015090,0.014937,0.002231,0.002344,0.001893,0.002087,0.001700,0.001999,0.001727,0.001999,0.001900,0.002087,0.002191,0.002344,0.015142,0.014937
omega12,0.011765,0.011407,0.001594,0.001676,0.001338,0.001464,0.001206,0.001391,0.001237,0.001391,0.001396,0.001464,0.001632,0.001676,0.010977,0.011407
omega13,0.009064,0.008967,0.001113,0.001247,0.000948,0.001071,0.000880,0.001012,0.000938,0.001012,0.000932,0.001071,0.001158,0.001247,0.008897,0.008967
omega14,0.007207,0.007035,0.000881,0.000933,0.000718,0.000790,0.000646,0.000743,0.000678,0.000743,0.000708,0.000790,0.000839,0.000933,0.006920,0.007036
omega15,0.005652,0.005497,0.000626,0.000700,0.000539,0.000586,0.000506,0.000548,0.000466,0.000548,0.000522,0.000586,0.000634,0.000700,0.005562,0.005497
omega16,0.004357,0.004289,0.000502,0.000528,0.000384,0.000437,0.000370,0.000407,0.000365,0.000407,0.000386,0.000437,0.000481,0.000528,0.004275,0.004289
omega17,0.003358,0.003348,0.000366,0.000400,0.000280,0.000328,0.000270,0.000305,0.000269,0.000305,0.000294,0.000328,0.000366,0.000400,0.003455,0.003348
omega18,0.002599,0.002620,0.000276,0.000305,0.000225,0.000248,0.000193,0.000230,0.000198,0.000230,0.000227,0.000248,0.000283,0.000305,0.002569,0.002620
omega19,0.002088,0.002057,0.000221,0.000234,0.000170,0.000189,0.000155,0.000175,0.000149,0.000175,0.000172,0.000189,0.000219,0.000234,0.002062,0.002057
omega20,0.001616,0.001622,0.000166,0.000181,0.000134,0.000145,0.000121,0.000134,0.000118,0.000134,0.000128,0.000145,0.000162,0.000181,0.001630,0.001622
omega21,0.001294,0.001285,0.000130,0.000141,0.000100,0.000112,0.000092,0.000103,0.000092,0.000103,0.000101,0.000112,0.000128,0.000141,0.001305,0.001285
omega22,0.001025,0.001023,0.000102,0.000110,0.000082,0.000088,0.000072,0.000080,0.000073,0.000080,0.000078,0.000088,0.000101,0.000110,0.001045,0.001023
omega23,0.000817,0.000819,0.000081,0.000087,0.000061,0.000069,0.000057,0.000063,0.000056,0.000063,0.000061,0.000069,0.000081,0.000087,0.000808,0.000819
omega24,0.000657,0.000659,0.000064,0.000069,0.000050,0.000055,0.000045,0.000050,0.000045,0.000050,0.000050,0.000055,0.000065,0.000069,0.000655,0.000659
omega25,0.000528,0.000533,0.000052,0.000055,0.000040,0.000043,0.000036,0.000040,0.000036,0.000040,0.000039,0.000043,0.000051,0.000055,0.000531,0.000533
omega26,0.000435,0.000433,0.000041,0.000044,0.000031,0.000035,0.000029,0.000032,0.000029,0.000032,0.000032,0.000035,0.000042,0.000044,0.000432,0.000433
omega27,0.000357,0.000354,0.000034,0.000036,0.000026,0.000028,0.000023,0.000026,0.000023,0.000026,0.000025,0.000028,0.000033,0.000036,0.000349,0.000354
omega28,0.000293,0.000291,0.000027,0.000029,0.000021,0.000023,0.000019,0.000021,0.000019,0.000021,0.000021,0.000023,0.000027,0.000029,0.000292,0.000291
omega29,0.000239,0.000240,0.000022,0.000024,0.000017,0.000019,0.000015,0.000017,0.000015,0.000017,0.000017,0.000019,0.000022,0.000024,0.000238,0.000240
omega30,0.000200,0.000199,0.000018,0.000020,0.000014,0.000015,0.000013,0.000014,0.000013,0.000014,0.000014,0.000015,0.000019,0.000020,0.000200,0.000199
omega31,0.000167,0.000166,0.000015,0.000016,0.000012,0.000013,0.000010,0.000012,0.000010,0.000012,0.000012,0.000013,0.000015,0.000016,0.000164,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.349279,0.336619
1,0.054786,0.058005
2,0.048519,0.053452
3,0.046271,0.051924
4,0.045458,0.051924
5,0.047800,0.053452
6,0.054771,0.058005
7,0.353116,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000096,0.000080
2,0.001763,0.001555
3,0.010008,0.009016
4,0.028495,0.026052
5,0.057782,0.052612
6,0.106074,0.106855
7,0.217016,0.217005
8,0.211320,0.215751
9,0.122055,0.121391
10,0.064751,0.065261
11,0.041874,0.042735
12,0.031145,0.031875
13,0.023931,0.024592
14,0.018597,0.019003
15,0.014508,0.014664
16,0.011119,0.011322
17,0.008657,0.008762
18,0.006569,0.006806
19,0.005238,0.005310
20,0.004073,0.004164
21,0.003242,0.003283
22,0.002579,0.002603
23,0.002023,0.002075
24,0.001631,0.001665
25,0.001313,0.001343
26,0.001070,0.001089
27,0.000870,0.000888
28,0.000718,0.000728
29,0.000587,0.000600
30,0.000490,0.000497
31,0.000405,0.000414

End
