FFT Height Histogram Export
OceanLength,500.000
GridLength,500
Bins,64
Min,-0.886773
Max,0.864047
TotalPixels,65536

binIndex,hMin,hMax,count,probability
0,-0.886773,-0.859417,4,0.00006104
1,-0.859417,-0.832060,4,0.00006104
2,-0.832060,-0.804703,1,0.00001526
3,-0.804703,-0.777347,5,0.00007629
4,-0.777347,-0.749990,6,0.00009155
5,-0.749990,-0.722634,9,0.00013733
6,-0.722634,-0.695277,15,0.00022888
7,-0.695277,-0.667921,27,0.00041199
8,-0.667921,-0.640564,33,0.00050354
9,-0.640564,-0.613208,42,0.00064087
10,-0.613208,-0.585851,62,0.00094604
11,-0.585851,-0.558494,98,0.00149536
12,-0.558494,-0.531138,129,0.00196838
13,-0.531138,-0.503781,147,0.00224304
14,-0.503781,-0.476425,234,0.00357056
15,-0.476425,-0.449068,353,0.00538635
16,-0.449068,-0.421712,400,0.00610352
17,-0.421712,-0.394355,572,0.00872803
18,-0.394355,-0.366998,665,0.01014709
19,-0.366998,-0.339642,824,0.01257324
20,-0.339642,-0.312285,1043,0.01591492
21,-0.312285,-0.284929,1328,0.02026367
22,-0.284929,-0.257572,1531,0.02336121
23,-0.257572,-0.230216,1699,0.02592468
24,-0.230216,-0.202859,2044,0.03118896
25,-0.202859,-0.175502,2219,0.03385925
26,-0.175502,-0.148146,2592,0.03955078
27,-0.148146,-0.120789,2767,0.04222107
28,-0.120789,-0.093433,2883,0.04399109
29,-0.093433,-0.066076,3131,0.04777527
30,-0.066076,-0.038720,3346,0.05105591
31,-0.038720,-0.011363,3260,0.04974365
32,-0.011363,0.015994,3359,0.05125427
33,0.015994,0.043350,3238,0.04940796
34,0.043350,0.070707,3173,0.04841614
35,0.070707,0.098063,3150,0.04806519
36,0.098063,0.125420,2930,0.04470825
37,0.125420,0.152776,2776,0.04235840
38,0.152776,0.180133,2374,0.03622437
39,0.180133,0.207490,2222,0.03390503
40,0.207490,0.234846,1951,0.02976990
41,0.234846,0.262203,1648,0.02514648
42,0.262203,0.289559,1425,0.02174377
43,0.289559,0.316916,1207,0.01841736
44,0.316916,0.344272,1002,0.01528931
45,0.344272,0.371629,810,0.01235962
46,0.371629,0.398985,675,0.01029968
47,0.398985,0.426342,515,0.00785828
48,0.426342,0.453699,384,0.00585938
49,0.453699,0.481055,354,0.00540161
50,0.481055,0.508412,227,0.00346375
51,0.508412,0.535768,176,0.00268555
52,0.535768,0.563125,158,0.00241089
53,0.563125,0.590481,97,0.00148010
54,0.590481,0.617838,72,0.00109863
55,0.617838,0.645195,53,0.00080872
56,0.645195,0.672551,29,0.00044250
57,0.672551,0.699908,16,0.00024414
58,0.699908,0.727264,21,0.00032043
59,0.727264,0.754621,3,0.00004578
60,0.754621,0.781977,4,0.00006104
61,0.781977,0.809334,5,0.00007629
62,0.809334,0.836691,5,0.00007629
63,0.836691,0.864047,4,0.00006104

End
