Height Histogram Export
Region,0
Bins,64
Min,-0.6507951
Max,0.6845162
TotalPixels,262144

binIndex,hMin,hMax,count,probability
0,-0.650795,-0.629931,10,0.00003815
1,-0.629931,-0.609067,11,0.00004196
2,-0.609067,-0.588202,15,0.00005722
3,-0.588202,-0.567338,24,0.00009155
4,-0.567338,-0.546474,18,0.00006866
5,-0.546474,-0.525610,39,0.00014877
6,-0.525610,-0.504745,65,0.00024796
7,-0.504745,-0.483881,57,0.00021744
8,-0.483881,-0.463017,108,0.00041199
9,-0.463017,-0.442153,157,0.00059891
10,-0.442153,-0.421289,278,0.00106049
11,-0.421289,-0.400424,404,0.00154114
12,-0.400424,-0.379560,524,0.00199890
13,-0.379560,-0.358696,718,0.00273895
14,-0.358696,-0.337832,978,0.00373077
15,-0.337832,-0.316967,1286,0.00490570
16,-0.316967,-0.296103,1723,0.00657272
17,-0.296103,-0.275239,2246,0.00856781
18,-0.275239,-0.254375,2800,0.01068115
19,-0.254375,-0.233510,3612,0.01377869
20,-0.233510,-0.212646,4352,0.01660156
21,-0.212646,-0.191782,5538,0.02112579
22,-0.191782,-0.170918,6724,0.02565002
23,-0.170918,-0.150053,7977,0.03042984
24,-0.150053,-0.129189,9090,0.03467560
25,-0.129189,-0.108325,10602,0.04044342
26,-0.108325,-0.087461,11982,0.04570770
27,-0.087461,-0.066596,13290,0.05069733
28,-0.066596,-0.045732,14119,0.05385971
29,-0.045732,-0.024868,14495,0.05529404
30,-0.024868,-0.004004,14286,0.05449677
31,-0.004004,0.016861,14524,0.05540466
32,0.016861,0.037725,14426,0.05503082
33,0.037725,0.058589,14235,0.05430222
34,0.058589,0.079453,13459,0.05134201
35,0.079453,0.100318,12379,0.04722214
36,0.100318,0.121182,11409,0.04352188
37,0.121182,0.142046,10114,0.03858185
38,0.142046,0.162910,8635,0.03293991
39,0.162910,0.183775,7295,0.02782822
40,0.183775,0.204639,6232,0.02377319
41,0.204639,0.225503,5304,0.02023315
42,0.225503,0.246367,3904,0.01489258
43,0.246367,0.267231,3181,0.01213455
44,0.267231,0.288096,2524,0.00962830
45,0.288096,0.308960,1898,0.00724030
46,0.308960,0.329824,1436,0.00547791
47,0.329824,0.350688,1131,0.00431442
48,0.350688,0.371553,732,0.00279236
49,0.371553,0.392417,565,0.00215530
50,0.392417,0.413281,280,0.00106812
51,0.413281,0.434145,256,0.00097656
52,0.434145,0.455010,177,0.00067520
53,0.455010,0.475874,145,0.00055313
54,0.475874,0.496738,128,0.00048828
55,0.496738,0.517602,75,0.00028610
56,0.517602,0.538467,38,0.00014496
57,0.538467,0.559331,24,0.00009155
58,0.559331,0.580195,30,0.00011444
59,0.580195,0.601059,24,0.00009155
60,0.601059,0.621923,18,0.00006866
61,0.621923,0.642788,13,0.00004959
62,0.642788,0.663652,11,0.00004196
63,0.663652,0.684516,14,0.00005341
